################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         35   0.0000000000000000E+00   4.8530231842729536E+00   2.8635913000083803E-02   9.3877860136559549E-02
         2         36   0.0000000000000000E+00   6.0842994584298280E+00   1.9943963717434893E-01   3.9150847589558807E-01
         2         37   0.0000000000000000E+00   4.5656362738248237E+00   3.1680698604966984E-01   2.4973851556137117E-01
         2         38   0.0000000000000000E+00   3.1989069210816350E+01   3.1393929821317750E+00   4.9688794367741025E+00
         2         39   0.0000000000000000E+00   1.8809195885555589E+01   1.4182631455597843E+00   1.8925415449744445E+00
         2         40   0.0000000000000000E+00   1.9873578739917583E+01   4.2850148995246444E+00   2.0880155096592214E+00
         2         41   0.0000000000000000E+00   1.2997347942695972E+01   6.6635208202805507E-01   1.1841803325789821E+00
         2         42   0.0000000000000000E+00   1.3794650658007914E+01   1.0044660165781127E+00   1.5936902507982038E+00
         2         43   0.0000000000000000E+00   1.1924395579973787E+01   2.4359223838005475E+00   1.2989364419353453E+00
         2         44   0.0000000000000000E+00   4.1650057467184709E+01   3.7821064869213994E+00   6.1415169483042211E+00
         2         45   0.0000000000000000E+00   2.7904787279409859E+01   2.3052060971562005E+00   3.2408956469819006E+00
         2         46   0.0000000000000000E+00   3.1015536183356065E+01   6.8499558654986190E+00   3.3503825429036400E+00
         2         47   0.0000000000000000E+00   4.1988624661426561E+00   2.2380498134141533E-02   7.5802797729905891E-02
         2         48   0.0000000000000000E+00   5.3347448894545142E+00   1.5423915164279345E-01   3.1197765158456853E-01
         2         49   0.0000000000000000E+00   3.9722698002882537E+00   2.4241494660601334E-01   1.9907195918463116E-01
         2         50   0.0000000000000000E+00   2.6991006859410433E+01   2.5649792949418977E+00   4.1001790484088616E+00
         2         51   0.0000000000000000E+00   1.5925582352849720E+01   1.1194270804357167E+00   1.5306188526873099E+00
         2         52   0.0000000000000000E+00   1.6757480554066063E+01   3.3990169043590575E+00   1.6892394680518821E+00
