################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3875999469113189E+01 a       149     0     8     1     9
 -1.9077679694582514E+01 a       150     0     8     1    10
 -6.6341235679960633E+00 a       151     0     8     1    11
  1.9221090260405300E+00 a       152     0     8     1    12
 -1.1769521295169142E+01 a       153     0     8     1    13
 -6.8186438497204378E+00 a       154     0     8     1    14
  7.4732428988971016E+00 a       155     0     8     1    15
 -4.0635056364473954E+01 a       156     0     8     1    16
 -1.1889308356633125E+01 a       157     0     8     1    17
  6.2948223745371719E+00 a       158     0     8     1    18
  4.6306664600567579E+01 a       159     0     8     1    19
  5.0473974285115283E+01 a       160     0     8     1    20
  6.7230117890519452E+01 a       161     0     9     1     1
  1.5096087034158860E+01 a       162     0     9     1     2
  3.5110976099822694E-01 a       163     0     9     1     3
 -1.1465133095615269E+02 a       164     0     9     1     4
 -7.3384445648680142E+01 a       165     0     9     1     5
 -1.7989283608446615E+02 a       166     0     9     1     6
  5.7804142020349104E+01 a       167     0     9     1     7
 -2.9393670160609055E+01 a       168     0     9     1     8
  5.0061634974243354E+01 a       169     0     9     1     9
  1.7302731454626181E+02 a       170     0     9     1    10
 -1.0703880225399296E+01 a       171     0     9     1    11
  1.0994790599643825E+02 a       172     0     9     1    12
  9.1126479619585425E+01 a       173     0     9     1    13
  5.5155772115768990E+01 a       174     0     9     1    14
  6.4552821394085726E+01 a       175     0     9     1    15
  6.9060804728054859E-01 a       176     0     9     1    16
  5.0372368924320362E+01 a       177     0     9     1    17
  4.5801308178825415E+01 a       178     0     9     1    18
  6.6000059837230207E+00 a       179     0     9     1    19
 -1.9125760854434478E+02 a       180     0     9     1    20
  1.4469170289093457E+01 a       181     0    10     1     1
 -4.1946766053600292E+01 a       182     0    10     1     2
 -3.5374059625250425E+01 a       183     0    10     1     3
 -2.4606604194084653E+01 a       184     0    10     1     4
 -4.9570856601198052E+01 a       185     0    10     1     5
 -4.0075286111275616E+01 a       186     0    10     1     6
 -7.3409703474585356E+01 a       187     0    10     1     7
 -4.4371957142570011E+01 a       188     0    10     1     8
  5.5750575846040313E+01 a       189     0    10     1     9
  3.9638893645505156E+01 a       190     0    10     1    10
  2.9551663781520072E+00 a       191     0    10     1    11
 -1.0064430559053458E+01 a       192     0    10     1    12
 -1.5475250410784021E+01 a       193     0    10     1    13
 -1.7089678328059666E+01 a       194     0    10     1    14
 -2.6898072469163164E+01 a       195     0    10     1    15
 -1.9524348724425386E+02 a       196     0    10     1    16
 -1.3869698710647985E+01 a       197     0    10     1    17
  3.1086296239198461E+01 a       198     0    10     1    18
  5.1260980708377723E+01 a       199     0    10     1    19
  3.0489296653298027E+01 a       200     0    10     1    20
  4.3151620500320881E+01 a       201     0    11     1     1
  4.3148109368613561E+01 a       202     0    11     1     2
  1.1924009118223682E+02 a       203     0    11     1     3
 -1.2558968308377440E+02 a       204     0    11     1     4
  8.3700551702226832E+01 a       205     0    11     1     5
 -3.5149225337341723E+00 a       206     0    11     1     6
 -2.7508538668816183E+00 a       207     0    11     1     7
  5.5820430790930757E+01 a       208     0    11     1     8
 -1.1680691757603438E+02 a       209     0    11     1     9
  6.0610375823363171E+01 a       210     0    11     1    10
 -8.8855756702823319E-01 a       211     0    11     1    11
  1.4564754202655119E+00 a       212     0    11     1    12
  5.5050113946065601E+01 a       213     0    11     1    13
 -4.0207554666395787E+01 a       214     0    11     1    14
  3.2111700978217002E+01 a       215     0    11     1    15
  4.3343454145052775E+01 a       216     0    11     1    16
  5.2386507445358255E+01 a       217     0    11     1    17
 -8.6575505187843802E+01 a       218     0    11     1    18
 -4.3186151029153045E+01 a       219     0    11     1    19
 -3.9072493891610009E+02 a       220     0    11     1    20
  1.7538142792305333E+01 a       221     0    12     1     1
  9.7005469047046404E+01 a       222     0    12     1     2
  1.6389087188756577E+01 a       223     0    12     1     3
 -1.6642738531330330E+01 a       224     0    12     1     4
  3.1847726967196948E+01 a       225     0    12     1     5
  2.2456808493500958E+01 a       226     0    12     1     6
 -6.3098377675786939E+00 a       227     0    12     1     7
 -1.1602486728370232E+01 a       228     0    12     1     8
  1.1715529314432535E+01 a       229     0    12     1     9
 -4.2667468160819844E+01 a       230     0    12     1    10
  1.5125197249552447E-01 a       231     0    12     1    11
 -1.0367319446121144E+01 a       232     0    12     1    12
  1.5126995438847622E+01 a       233     0    12     1    13
 -2.3864597431775948E+01 a       234     0    12     1    14
  1.1858754126947352E+01 a       235     0    12     1    15
 -1.7824432026587946E+01 a       236     0    12     1    16
  4.3329276878983883E+01 a       237     0    12     1    17
 -3.6535250286910156E+01 a       238     0    12     1    18
 -7.8903090369176256E+00 a       239     0    12     1    19
 -7.4644615248679997E+00 a       240     0    12     1    20
 -4.3994464165657918E+00 a       241     0    13     1     1
  4.4781070384723996E+01 a       242     0    13     1     2
  7.3323245595123595E+01 a       243     0    13     1     3
 -9.6253209340799003E+01 a       244     0    13     1     4
  1.5304186493369042E+02 a       245     0    13     1     5
  1.2797262010493574E+02 a       246     0    13     1     6
 -6.5702063067637951E+01 a       247     0    13     1     7
  8.3669645084585468E+01 a       248     0    13     1     8
 -8.9674223513974766E+01 a       249     0    13     1     9
 -4.1125142215014080E+01 a       250     0    13     1    10
 -2.2002740881135828E+01 a       251     0    13     1    11
 -1.1599926543720379E+01 a       252     0    13     1    12
  2.3372516026476177E+01 a       253     0    13     1    13
 -3.5661241943419832E+01 a       254     0    13     1    14
  6.3777619137036687E+01 a       255     0    13     1    15
 -2.9513670210677612E+00 a       256     0    13     1    16
  6.6881975786987491E+00 a       257     0    13     1    17
 -1.4373270410569603E+02 a       258     0    13     1    18
 -1.1311979914210870E+02 a       259     0    13     1    19
 -2.6479202253707967E+02 a       260     0    13     1    20
 -4.0059733317919877E+00 a       261     0    14     1     1
  8.7761726563451106E+00 a       262     0    14     1     2
  2.3997599476493001E+01 a       263     0    14     1     3
  5.8187841075254205E+00 a       264     0    14     1     4
  2.6005737755370927E+01 a       265     0    14     1     5
  2.6829508080984436E+01 a       266     0    14     1     6
  2.9389154008886351E+01 a       267     0    14     1     7
  3.0011494542204723E+01 a       268     0    14     1     8
 -3.5625035787119195E+01 a       269     0    14     1     9
 -1.2543554170309438E+01 a       270     0    14     1    10
  6.4063217194333539E+00 a       271     0    14     1    11
  8.6693870054116644E+00 a       272     0    14     1    12
  2.0466228632077170E+00 a       273     0    14     1    13
  1.7220430699943162E+01 a       274     0    14     1    14
  9.4330686231369505E+00 a       275     0    14     1    15
  1.2024033345557891E+02 a       276     0    14     1    16
  1.2789063730523029E+01 a       277     0    14     1    17
 -1.8510232036900678E+01 a       278     0    14     1    18
 -2.9606463838432163E+01 a       279     0    14     1    19
 -3.1698435282105191E+01 a       280     0    14     1    20
 -2.3535805847617610E+01 a       281     0    15     1     1
 -2.5436193188184582E+01 a       282     0    15     1     2
 -1.1792056764661470E-01 a       283     0    15     1     3
  2.5911240793892141E+00 a       284     0    15     1     4
 -7.4725425527409850E-01 a       285     0    15     1     5
  1.0486368523822833E+01 a       286     0    15     1     6
  2.1126600545773564E+00 a       287     0    15     1     7
  1.2315350322415006E+00 a       288     0    15     1     8
  3.9482831116037985E+01 a       289     0    15     1     9
 -8.3672164364303701E+00 a       290     0    15     1    10
 -8.2560137888888292E+00 a       291     0    15     1    11
 -3.8455416765187072E+00 a       292     0    15     1    12
  9.3219957323715601E+00 a       293     0    15     1    13
  7.9268463314541853E+00 a       294     0    15     1    14
 -1.0551784230851045E+01 a       295     0    15     1    15
 -2.6058273304357044E+01 a       296     0    15     1    16
 -7.7182168266946407E+00 a       297     0    15     1    17
 -8.1708538532649655E+00 a       298     0    15     1    18
 -1.9763843781498551E+01 a       299     0    15     1    19
  4.0919933047178851E+01 a       300     0    15     1    20
 -5.4377421117916711E+00 a       301     0    16     1     1
 -3.6662789807943049E+01 a       302     0    16     1     2
 -4.8813932296583999E+00 a       303     0    16     1     3
  4.4444907205751383E+00 a       304     0    16     1     4
 -9.8670002607671865E+00 a       305     0    16     1     5
 -6.5351270410532161E+00 a       306     0    16     1     6
  4.2922070498868550E-02 a       307     0    16     1     7
  3.7605749269027657E+00 a       308     0    16     1     8
 -4.1388370935214978E+00 a       309     0    16     1     9
  1.5495322563587223E+01 a       310     0    16     1    10
  9.6195921391411998E-01 a       311     0    16     1    11
  3.0450090044034215E+00 a       312     0    16     1    12
 -3.6159964441558574E+00 a       313     0    16     1    13
  8.0983423982249576E+00 a       314     0    16     1    14
 -5.1321798338819393E+00 a       315     0    16     1    15
  6.3172899800862616E+00 a       316     0    16     1    16
 -1.2961388017669265E+01 a       317     0    16     1    17
  1.0962613079228898E+01 a       318     0    16     1    18
 -1.2521332681225181E-01 a       319     0    16     1    19
 -4.0060808124525110E-01 a       320     0    16     1    20
 -3.1172046036393169E+01 a       321     0    17     1     1
 -6.1359624653211164E+01 a       322     0    17     1     2
  1.9467867461694158E+01 a       323     0    17     1     3
