################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6653155679166847E+01 a       215     0    11     1    15
  7.6112487760511298E+00 a       216     0    11     1    16
  1.8190955684580956E+01 a       217     0    11     1    17
 -3.6353871759535267E+01 a       218     0    11     1    18
 -1.5489336861479821E+01 a       219     0    11     1    19
 -2.5683534082343193E+01 a       220     0    11     1    20
 -5.0654336556649247E+00 a       221     0    12     1     1
  1.2714796791018102E+01 a       222     0    12     1     2
 -1.0026382568041841E+00 a       223     0    12     1     3
  3.4331884225556615E+00 a       224     0    12     1     4
 -3.5656306631375170E+00 a       225     0    12     1     5
  3.2988480212238773E+00 a       226     0    12     1     6
 -5.4276711955362780E+00 a       227     0    12     1     7
 -6.4840798233819390E+00 a       228     0    12     1     8
 -7.0360347703110948E+00 a       229     0    12     1     9
  2.5202688026629776E+00 a       230     0    12     1    10
 -1.6663482957200553E+00 a       231     0    12     1    11
  1.2816304043820164E+00 a       232     0    12     1    12
 -5.9399120331382003E+00 a       233     0    12     1    13
  1.3853131562823511E+00 a       234     0    12     1    14
  1.5137950473749855E+00 a       235     0    12     1    15
 -1.0646921364381787E+00 a       236     0    12     1    16
 -1.1930515744496843E+01 a       237     0    12     1    17
 -2.3585021185746964E+01 a       238     0    12     1    18
 -9.3038589822855560E+00 a       239     0    12     1    19
 -1.5186040027419947E+00 a       240     0    12     1    20
 -3.0116095182852303E+00 a       241     0    13     1     1
  3.5537513948496091E+01 a       242     0    13     1     2
 -1.8023116428411154E+01 a       243     0    13     1     3
  2.1435393800723840E+01 a       244     0    13     1     4
 -1.9964233712292280E+01 a       245     0    13     1     5
