################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         31   1.7122265638125896E-05   6.2572280681510994E+00   1.1170768935346549E+00   6.5090178990646319E-01
         2         32   0.0000000000000000E+00   4.1613518656458119E+01   4.0134801537099225E+00   6.4301740494315753E+00
         2         33   0.0000000000000000E+00   2.0784385087413732E+01   2.1674452376728959E+00   2.9131011891507064E+00
         2         34   1.0552634469325509E-03   2.9586615441341209E+01   6.6411909964293221E+00   3.1446198164415584E+00
         2         35   0.0000000000000000E+00   4.6391123475101077E+00   2.6872121907991826E-02   8.4150570870864042E-02
         2         36   0.0000000000000000E+00   3.2627131421934439E+00   1.8968138773335549E-01   3.5293178065588499E-01
         2         37   6.8123192389886459E-07   2.2568791225139391E+00   3.1142397537400129E-01   2.2169197435954416E-01
         2         38   0.0000000000000000E+00   3.1989069210816350E+01   3.1327491370815159E+00   4.9771985399747898E+00
         2         39   0.0000000000000000E+00   1.3438131341968989E+01   1.3894301987010491E+00   1.8265151614471065E+00
         2         40   8.8343343999274209E-04   1.9873578739917583E+01   4.2801390602388789E+00   2.0512769222924798E+00
         2         41   0.0000000000000000E+00   1.2997347942695972E+01   6.6384836765530464E-01   1.1837719071345003E+00
         2         42   0.0000000000000000E+00   1.1338403143961587E+01   9.8330092603073360E-01   1.5522208599498670E+00
         2         43   7.2263523373658291E-05   1.1924395579973787E+01   2.4341961040160487E+00   1.2791655603258911E+00
         2         44   0.0000000000000000E+00   4.1650057467184709E+01   3.7749144119973512E+00   6.1521593648779920E+00
         2         45   0.0000000000000000E+00   2.2712626275787340E+01   2.2650059345078879E+00   3.1672218498114431E+00
         2         46   7.0559956807898490E-04   3.1015536183356065E+01   6.8513284784327766E+00   3.3102553528209278E+00
         2         47   0.0000000000000000E+00   3.8560691999111709E+00   2.0950579346657925E-02   6.7581774074588249E-02
         2         48   0.0000000000000000E+00   2.6240675660626449E+00   1.4577616221331474E-01   2.7499128372176423E-01
         2         49   3.7945616246004470E-07   1.7898737179786068E+00   2.3757580641518730E-01   1.7186979903974553E-01
         2         50   0.0000000000000000E+00   2.6991006859410433E+01   2.5584295851402667E+00   4.1060925154808121E+00
         2         51   0.0000000000000000E+00   1.1152280876115690E+01   1.0945716312691276E+00   1.4706414640574461E+00
         2         52   5.4073552041452439E-04   1.6175751169667375E+01   3.3925530991809252E+00   1.6538634008612196E+00
