################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.3871398284180509E+00 a       291     0    15     1    11
  1.7639776910184111E+01 a       292     0    15     1    12
 -4.4257354160889939E+00 a       293     0    15     1    13
 -7.9856495434187869E+00 a       294     0    15     1    14
  8.2223807738345300E+00 a       295     0    15     1    15
 -1.5908023112552895E+01 a       296     0    15     1    16
 -9.1262580424315587E+00 a       297     0    15     1    17
  4.6854557125376434E-01 a       298     0    15     1    18
  3.0333980184460163E+00 a       299     0    15     1    19
  1.6148199701301586E+01 a       300     0    15     1    20
  4.0666767008340212E+00 a       301     0    16     1     1
 -6.1333628124482571E+00 a       302     0    16     1     2
 -4.1921404078024107E+00 a       303     0    16     1     3
  1.5533209922056647E+01 a       304     0    16     1     4
  5.7065690559814835E+00 a       305     0    16     1     5
 -1.0183293673347039E+01 a       306     0    16     1     6
  1.4435454958490293E+01 a       307     0    16     1     7
 -7.9300290263114652E+00 a       308     0    16     1     8
 -6.2896908878145172E+00 a       309     0    16     1     9
  6.4742646566195470E+00 a       310     0    16     1    10
  2.3013188333218718E+01 a       311     0    16     1    11
 -2.6333879323455303E+01 a       312     0    16     1    12
  9.0367140374315742E+00 a       313     0    16     1    13
  8.4121894859981072E+00 a       314     0    16     1    14
 -1.2686643901113650E+01 a       315     0    16     1    15
  9.7470350455268040E+00 a       316     0    16     1    16
  1.0373713771373936E+01 a       317     0    16     1    17
  3.9041165302844640E+00 a       318     0    16     1    18
  3.4993092902416001E-01 a       319     0    16     1    19
  6.6389181325615141E+00 a       320     0    16     1    20
 -6.2734494211507929E+01 a       321     0    17     1     1
  2.6675326475609542E+00 a       322     0    17     1     2
 -4.8081007642678756E+01 a       323     0    17     1     3
 -1.0104018753457098E+02 a       324     0    17     1     4
  5.0835794846665600E+01 a       325     0    17     1     5
 -7.4520088924395136E+00 a       326     0    17     1     6
 -1.5609959514057479E+01 a       327     0    17     1     7
 -2.0894478082729711E+00 a       328     0    17     1     8
  2.3901410905668673E+01 a       329     0    17     1     9
  6.7785921552874262E+00 a       330     0    17     1    10
 -3.4069446659048545E+01 a       331     0    17     1    11
  2.0575125127070145E+01 a       332     0    17     1    12
 -4.7001191614633569E+01 a       333     0    17     1    13
  1.0675344596268927E+01 a       334     0    17     1    14
 -1.5293098554134557E+00 a       335     0    17     1    15
  1.9757521436929399E+00 a       336     0    17     1    16
  9.3688447321713948E+00 a       337     0    17     1    17
  1.8266858467642873E+01 a       338     0    17     1    18
 -2.4046452338889804E+01 a       339     0    17     1    19
 -5.2296918796456806E+00 a       340     0    17     1    20
  2.9474026560756990E+00 a       341     0    18     1     1
 -2.1377527379385558E+01 a       342     0    18     1     2
 -1.4110881116166336E+01 a       343     0    18     1     3
  3.7810852464062201E+01 a       344     0    18     1     4
  2.2847172855725471E+01 a       345     0    18     1     5
 -2.6605644967721652E+01 a       346     0    18     1     6
  4.4672718918170546E+01 a       347     0    18     1     7
 -2.4954772976223325E+01 a       348     0    18     1     8
 -1.2679095964688090E+01 a       349     0    18     1     9
  2.5431155305048446E+01 a       350     0    18     1    10
  5.2366364610384444E+01 a       351     0    18     1    11
 -7.3826118966156898E+01 a       352     0    18     1    12
  2.3777662538854042E+01 a       353     0    18     1    13
  2.5980593065135032E+01 a       354     0    18     1    14
 -3.3768941193303618E+01 a       355     0    18     1    15
  1.9263157036352887E+01 a       356     0    18     1    16
  2.4538737436461602E+01 a       357     0    18     1    17
  9.4442864819613153E+00 a       358     0    18     1    18
 -1.4862663473832551E+00 a       359     0    18     1    19
  1.2683450193516629E+01 a       360     0    18     1    20
  4.2010139426337521E+00 a       361     0    19     1     1
 -1.0279459385104181E-01 a       362     0    19     1     2
  2.2853902567897819E+01 a       363     0    19     1     3
  2.2718221574201969E+01 a       364     0    19     1     4
 -9.3007083917973787E+00 a       365     0    19     1     5
 -3.2333775692052873E+00 a       366     0    19     1     6
 -6.8369175753471696E+00 a       367     0    19     1     7
  3.0710078807521007E-01 a       368     0    19     1     8
  3.5495323527311315E+00 a       369     0    19     1     9
 -2.7092619028310256E+00 a       370     0    19     1    10
  1.0849076123782737E+01 a       371     0    19     1    11
  1.6225104919768253E+01 a       372     0    19     1    12
  1.4435459131601268E+01 a       373     0    19     1    13
 -1.8585148996989229E+01 a       374     0    19     1    14
  4.0626143628306135E+00 a       375     0    19     1    15
 -1.7675839783590490E+01 a       376     0    19     1    16
  8.1103616307204298E+00 a       377     0    19     1    17
 -8.8166309833904197E+00 a       378     0    19     1    18
  1.3769783866230791E+01 a       379     0    19     1    19
  1.6013249406770727E+00 a       380     0    19     1    20
  1.0074887354750572E+00 a       381     0    20     1     1
 -1.1851382950839739E+00 a       382     0    20     1     2
 -7.7981828478062620E-01 a       383     0    20     1     3
