################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         22   4.5416043416301204E-28   1.2610712868810730E+00   3.6852581355738691E-02   4.9234191794879846E-02
         2         23   0.0000000000000000E+00   1.6201672800206072E+01   4.2973823658935029E-01   9.5635171189325852E-01
         2         24   0.0000000000000000E+00   1.3304073668558217E+01   8.7207307845502768E-01   1.3781968846752055E+00
         2         25   1.4969316864955325E-06   1.3062949595838584E+01   2.7252165837033973E+00   1.1868523103715634E+00
         2         26   0.0000000000000000E+00   4.7403272204187026E+01   2.5779579571398719E+00   5.0689883226856418E+00
         2         27   0.0000000000000000E+00   2.6528335438413912E+01   2.1362537493482945E+00   2.8824754739940661E+00
         2         28   1.7159010662467009E-05   3.3885770318017677E+01   7.6825269307316368E+00   3.0033372360783006E+00
         2         29   0.0000000000000000E+00   8.0365487522970085E+00   1.0741429769996372E-01   2.7282906388865258E-01
         2         30   0.0000000000000000E+00   6.6461193455790077E+00   3.7466867929084130E-01   6.3779971863670715E-01
         2         31   1.3921387700236557E-07   5.5107849028789566E+00   9.7361705974939305E-01   4.7512936013094076E-01
         2         32   0.0000000000000000E+00   4.0227332686373416E+01   2.2556340182504790E+00   4.3808207644083828E+00
         2         33   0.0000000000000000E+00   1.9973986486533231E+01   1.6388493501841128E+00   2.1514689534873752E+00
         2         34   1.5801292852973842E-05   2.6333605625058034E+01   5.9309274067776654E+00   2.2932125219739965E+00
         2         35   0.0000000000000000E+00   4.4568798032508248E+00   1.9251365857522816E-02   7.9003506229173653E-02
         2         36   0.0000000000000000E+00   2.9881815842814805E+00   1.2951947943956499E-01   2.4101935087264525E-01
         2         37   2.1014057637074221E-09   1.9838738825247295E+00   2.5764806721576800E-01   1.5419040548091220E-01
         2         38   0.0000000000000000E+00   3.0938170137593900E+01   1.7946721566089174E+00   3.4187457561007535E+00
         2         39   0.0000000000000000E+00   1.2914339227526643E+01   1.0791581132719110E+00   1.3681945262168327E+00
         2         40   1.3443409985621383E-05   1.7642356434109626E+01   3.7906524221352189E+00   1.4616450969695625E+00
         2         41   0.0000000000000000E+00   1.3100755361994636E+01   3.4630849987876072E-01   7.7544906828463822E-01
         2         42   0.0000000000000000E+00   1.0829584791015685E+01   6.8344975742751712E-01   1.0920324761468330E+00
         2         43   8.2198457747810519E-07   1.0584037791529939E+01   2.1607445403106378E+00   9.5004488832089806E-01
         2         44   0.0000000000000000E+00   4.0420295359818425E+01   2.1078445802555308E+00   4.1619813332722275E+00
         2         45   0.0000000000000000E+00   2.1795711084875961E+01   1.6917058289336293E+00   2.3207182197373042E+00
         2         46   9.5497541636240196E-06   2.7574173296822782E+01   6.1100544510735872E+00   2.4260883954000523E+00
         2         47   0.0000000000000000E+00   3.6996700456881850E+00   1.5183740776724722E-02   6.3663402104013195E-02
         2         48   0.0000000000000000E+00   2.4001586947656937E+00   9.9458011774508664E-02   1.8686692738879881E-01
         2         49   1.0795266749201509E-09   1.5755970852150516E+00   1.9513116869037608E-01   1.1841706898572851E-01
         2         50   0.0000000000000000E+00   2.6080138028292691E+01   1.4718911264324943E+00   2.8165105243556416E+00
         2         51   0.0000000000000000E+00   1.0645430773162294E+01   8.5565034020924491E-01   1.1063351701472388E+00
         2         52   7.5024250284318776E-06   1.4323918242258697E+01   2.9928584877019384E+00   1.1741524053942998E+00
