################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.2961508299385365E+00 a       180     0     9     1    20
 -1.1427757129710709E+00 a       181     0    10     1     1
 -4.9239857138438046E+00 a       182     0    10     1     2
 -2.3932458554457492E+00 a       183     0    10     1     3
  1.9119427765068833E+00 a       184     0    10     1     4
  3.1172632225428063E+00 a       185     0    10     1     5
 -6.3281902731102679E+00 a       186     0    10     1     6
  4.6907625854601696E+00 a       187     0    10     1     7
 -2.2523511304807333E+00 a       188     0    10     1     8
  7.9626081261373394E-01 a       189     0    10     1     9
  4.5193402629824098E+00 a       190     0    10     1    10
 -8.6866740314342938E-02 a       191     0    10     1    11
 -5.2604372226237948E-02 a       192     0    10     1    12
 -7.4790441400681118E+00 a       193     0    10     1    13
 -1.2648100726226692E+01 a       194     0    10     1    14
  5.3395393203136736E+00 a       195     0    10     1    15
 -1.0226279386756797E+01 a       196     0    10     1    16
 -2.6829157680227738E+00 a       197     0    10     1    17
  1.6942732870372648E+00 a       198     0    10     1    18
 -5.1656474026614649E+00 a       199     0    10     1    19
 -1.3101081904022339E+01 a       200     0    10     1    20
  2.1175640545994896E+00 a       201     0    11     1     1
 -8.1525459488966479E-01 a       202     0    11     1     2
  6.9059943613628549E-02 a       203     0    11     1     3
  2.8766087236259139E+00 a       204     0    11     1     4
  3.3259812884116893E+00 a       205     0    11     1     5
  1.2709478059812029E+00 a       206     0    11     1     6
 -5.0214253333531556E+00 a       207     0    11     1     7
  2.1423763526515884E+00 a       208     0    11     1     8
  1.8920588494520627E+00 a       209     0    11     1     9
  1.1176561031082368E+00 a       210     0    11     1    10
  3.4623222781993845E-01 a       211     0    11     1    11
  2.9358603710027054E+00 a       212     0    11     1    12
 -3.6780524094138114E+00 a       213     0    11     1    13
